C:\Users\LydoSr\anaconda3\envs\multimod\Lib\site-packages\transformers\tokenization_utils_base.py:1601: FutureWarning: `clean_up_tokenization_spaces` was not set. It will be set to `True` by default. This behavior will be depracted in transformers v4.45, and will be then set to `False` by default. For more details check this issue: https://github.com/huggingface/transformers/issues/31884
  warnings.warn(
2024-09-25 02:50:28,665 - INFO - Loaded audio embeddings from embeddings/audio_embeddings.pt.
2024-09-25 02:51:43,058 - INFO - Loaded transcriptions from E:\Ted\Text Chunks.
2024-09-25 02:51:43,177 - INFO - Loaded 123493 samples from the dataset.
c:\Users\LydoSr\Desktop\multimodal-llm\train.py:63: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler()  # For mixed precision
Epoch 1/3
c:\Users\LydoSr\Desktop\multimodal-llm\train.py:75: FutureWarning: `torch.cuda.amp.autocast(args...)` is deprecated. Please use `torch.amp.autocast('cuda', args...)` instead.
  with torch.cuda.amp.autocast():
C:\Users\LydoSr\anaconda3\envs\multimod\Lib\site-packages\transformers\models\gpt2\modeling_gpt2.py:544: UserWarning: 1Torch was not compiled with flash attention. (Triggered internally at C:\cb\pytorch_1000000000000\work\aten\src\ATen\native\transformers\cuda\sdp_utils.cpp:555.)
  attn_output = torch.nn.functional.scaled_dot_product_attention(
  Batch 4 Loss: 8.9778
  Batch 8 Loss: 9.0151
  Batch 12 Loss: 9.1458
  Batch 16 Loss: 9.0674
  Batch 20 Loss: 9.2358
  Batch 24 Loss: 9.1811
  Batch 28 Loss: 9.2861
  Batch 32 Loss: 9.0730
  Batch 36 Loss: 9.0163
  Batch 40 Loss: 8.9617
  Batch 44 Loss: 9.1837
  Batch 48 Loss: 8.7067
  Batch 52 Loss: 8.7954
  Batch 56 Loss: 8.9583
  Batch 60 Loss: 9.2129
  Batch 64 Loss: 8.9920
  Batch 68 Loss: 9.0363
  Batch 72 Loss: 9.2200
  Batch 76 Loss: 8.7637
  Batch 80 Loss: 9.0040
  Batch 84 Loss: 8.7673
  Batch 88 Loss: 8.8377
  Batch 92 Loss: 9.2576
  Batch 96 Loss: 8.8122
  Batch 100 Loss: 9.1543
  Batch 104 Loss: 8.9617
  Batch 108 Loss: 9.0448
  Batch 112 Loss: 8.7055
  Batch 116 Loss: 9.2372
  Batch 120 Loss: 9.1441
  Batch 124 Loss: 9.1867
  Batch 128 Loss: 9.1166
  Batch 132 Loss: 9.1301
  Batch 136 Loss: 8.7809
  Batch 140 Loss: 8.9572
  Batch 144 Loss: 8.9953
  Batch 148 Loss: 9.0925
  Batch 152 Loss: 8.8752
  Batch 156 Loss: 9.3137
  Batch 160 Loss: 9.0162
  Batch 164 Loss: 8.9919
  Batch 168 Loss: 8.9716
  Batch 172 Loss: 9.0166
  Batch 176 Loss: 8.6130
  Batch 180 Loss: 8.9734
  Batch 184 Loss: 9.0573
  Batch 188 Loss: 8.5909
  Batch 192 Loss: 8.8611
  Batch 196 Loss: 8.5756
  Batch 200 Loss: 8.8219
  Batch 204 Loss: 9.4527
  Batch 208 Loss: 9.2286
  Batch 212 Loss: 8.8431
  Batch 216 Loss: 9.0432
  Batch 220 Loss: 9.0011
  Batch 224 Loss: 8.8247
  Batch 228 Loss: 8.9107
  Batch 232 Loss: 8.8120
  Batch 236 Loss: 8.5139
  Batch 240 Loss: 8.6258
  Batch 244 Loss: 8.9683
  Batch 248 Loss: 9.1871
  Batch 252 Loss: 8.9885
  Batch 256 Loss: 9.2792
  Batch 260 Loss: 8.7241
  Batch 264 Loss: 8.5299
  Batch 268 Loss: 8.8467
  Batch 272 Loss: 9.0174
  Batch 276 Loss: 8.9149
  Batch 280 Loss: 8.7285
  Batch 284 Loss: 9.1474
  Batch 288 Loss: 9.1130
  Batch 292 Loss: 8.8285
  Batch 296 Loss: 8.5631
  Batch 300 Loss: 8.6518
  Batch 304 Loss: 9.1373
  Batch 308 Loss: 8.2424
  Batch 312 Loss: 8.9235
  Batch 316 Loss: 8.8793
  Batch 320 Loss: 8.8354
  Batch 324 Loss: 8.6591
  Batch 328 Loss: 8.3085
  Batch 332 Loss: 8.3006
  Batch 336 Loss: 8.2673
  Batch 340 Loss: 8.5861
  Batch 344 Loss: 8.7981
  Batch 348 Loss: 8.6230
  Batch 352 Loss: 8.8154
  Batch 356 Loss: 8.6122
  Batch 360 Loss: 8.5089
  Batch 364 Loss: 8.7566
  Batch 368 Loss: 8.5332
  Batch 372 Loss: 8.5007
  Batch 376 Loss: 8.6194
  Batch 380 Loss: 8.3099
  Batch 384 Loss: 8.3849
  Batch 388 Loss: 8.5571
  Batch 392 Loss: 8.3380
  Batch 396 Loss: 8.2807
  Batch 400 Loss: 8.4130
  Batch 404 Loss: 8.2517
  Batch 408 Loss: 8.5132
  Batch 412 Loss: 8.6657
  Batch 416 Loss: 8.3738
  Batch 420 Loss: 8.0179
  Batch 424 Loss: 8.3119
  Batch 428 Loss: 8.3895
  Batch 432 Loss: 8.1428
  Batch 436 Loss: 8.0915
  Batch 440 Loss: 8.3135
  Batch 444 Loss: 7.8319
  Batch 448 Loss: 8.0165
  Batch 452 Loss: 8.2795
  Batch 456 Loss: 7.5242
  Batch 460 Loss: 8.1292
  Batch 464 Loss: 8.0509
  Batch 468 Loss: 8.1253
  Batch 472 Loss: 8.3947
  Batch 476 Loss: 8.1379
  Batch 480 Loss: 8.1800
  Batch 484 Loss: 7.5154
  Batch 488 Loss: 7.7165
  Batch 492 Loss: 8.2448
  Batch 496 Loss: 7.6679
  Batch 500 Loss: 8.2206
  Batch 504 Loss: 7.9836
  Batch 508 Loss: 7.6482
  Batch 512 Loss: 7.5489
  Batch 516 Loss: 7.4093
  Batch 520 Loss: 7.2191
  Batch 524 Loss: 7.2180
  Batch 528 Loss: 7.4813
  Batch 532 Loss: 8.0166
  Batch 536 Loss: 7.8254
  Batch 540 Loss: 7.6748
  Batch 544 Loss: 7.4820
  Batch 548 Loss: 7.2401
  Batch 552 Loss: 7.5090
  Batch 556 Loss: 7.1378
  Batch 560 Loss: 6.6925
  Batch 564 Loss: 7.3410
  Batch 568 Loss: 7.2468
  Batch 572 Loss: 7.5763
  Batch 576 Loss: 6.7479
  Batch 580 Loss: 7.5520
  Batch 584 Loss: 7.1257
  Batch 588 Loss: 6.5824
  Batch 592 Loss: 6.5158
  Batch 596 Loss: 6.0843
  Batch 600 Loss: 6.8484
  Batch 604 Loss: 6.4200
  Batch 608 Loss: 6.3332
  Batch 612 Loss: 6.6169
  Batch 616 Loss: 6.9295
  Batch 620 Loss: 6.7277
  Batch 624 Loss: 6.8723
  Batch 628 Loss: 6.8445
  Batch 632 Loss: 6.6362
  Batch 636 Loss: 6.3120
  Batch 640 Loss: 6.7066
  Batch 644 Loss: 6.5873
  Batch 648 Loss: 6.0212
  Batch 652 Loss: 6.1075
  Batch 656 Loss: 6.4914
  Batch 660 Loss: 5.8512
  Batch 664 Loss: 6.2330
  Batch 668 Loss: 6.3536
  Batch 672 Loss: 5.9973
  Batch 676 Loss: 5.8781
  Batch 680 Loss: 5.8872
  Batch 684 Loss: 6.1274
  Batch 688 Loss: 6.1394
  Batch 692 Loss: 5.6712
  Batch 696 Loss: 6.3268
  Batch 700 Loss: 5.9570
  Batch 704 Loss: 6.5291
  Batch 708 Loss: 5.9141
  Batch 712 Loss: 5.5622
  Batch 716 Loss: 6.5236
  Batch 720 Loss: 5.6324
  Batch 724 Loss: 5.9036
  Batch 728 Loss: 5.2538
  Batch 732 Loss: 5.7212
  Batch 736 Loss: 6.1683
  Batch 740 Loss: 5.4440
  Batch 744 Loss: 6.1346
  Batch 748 Loss: 5.4246
  Batch 752 Loss: 5.7670
  Batch 756 Loss: 5.7885
  Batch 760 Loss: 5.3269
  Batch 764 Loss: 5.4240
  Batch 768 Loss: 5.5877
  Batch 772 Loss: 5.8441
  Batch 776 Loss: 6.0479
  Batch 780 Loss: 5.1212
  Batch 784 Loss: 5.3710
  Batch 788 Loss: 5.3693
  Batch 792 Loss: 5.1660
  Batch 796 Loss: 5.2323
  Batch 800 Loss: 5.6368
  Batch 804 Loss: 5.4633
  Batch 808 Loss: 5.5771
  Batch 812 Loss: 5.4907
  Batch 816 Loss: 5.1845
  Batch 820 Loss: 4.9571
