2024-09-25 02:50:04,335 INFO    MainThread:32764 [wandb_setup.py:_flush():77] Current SDK version is 0.18.1
2024-09-25 02:50:04,336 INFO    MainThread:32764 [wandb_setup.py:_flush():77] Configure stats pid to 32764
2024-09-25 02:50:04,336 INFO    MainThread:32764 [wandb_setup.py:_flush():77] Loading settings from C:\Users\LydoSr\.config\wandb\settings
2024-09-25 02:50:04,336 INFO    MainThread:32764 [wandb_setup.py:_flush():77] Loading settings from C:\Users\LydoSr\Desktop\multimodal-llm\wandb\settings
2024-09-25 02:50:04,337 INFO    MainThread:32764 [wandb_setup.py:_flush():77] Loading settings from environment variables: {}
2024-09-25 02:50:04,337 INFO    MainThread:32764 [wandb_setup.py:_flush():77] Applying setup settings: {'mode': None, '_disable_service': None}
2024-09-25 02:50:04,337 INFO    MainThread:32764 [wandb_setup.py:_flush():77] Inferring run settings from compute environment: {'program_relpath': 'train.py', 'program_abspath': 'c:\\Users\\LydoSr\\Desktop\\multimodal-llm\\train.py', 'program': 'c:\\Users\\LydoSr\\Desktop\\multimodal-llm\\train.py'}
2024-09-25 02:50:04,337 INFO    MainThread:32764 [wandb_setup.py:_flush():77] Applying login settings: {}
2024-09-25 02:50:04,337 INFO    MainThread:32764 [wandb_init.py:_log_setup():532] Logging user logs to C:\Users\LydoSr\Desktop\multimodal-llm\wandb\run-20240925_025004-0ycxbfzv\logs\debug.log
2024-09-25 02:50:04,337 INFO    MainThread:32764 [wandb_init.py:_log_setup():533] Logging internal logs to C:\Users\LydoSr\Desktop\multimodal-llm\wandb\run-20240925_025004-0ycxbfzv\logs\debug-internal.log
2024-09-25 02:50:04,337 INFO    MainThread:32764 [wandb_init.py:init():616] calling init triggers
2024-09-25 02:50:04,337 INFO    MainThread:32764 [wandb_init.py:init():623] wandb.init called with sweep_config: {}
config: {'learning_rate': 5e-05, 'batch_size': 2, 'epochs': 3, 'max_length': 512, 'gradient_accumulation_steps': 4}
2024-09-25 02:50:04,338 INFO    MainThread:32764 [wandb_init.py:init():666] starting backend
2024-09-25 02:50:04,338 INFO    MainThread:32764 [wandb_init.py:init():670] setting up manager
2024-09-25 02:50:04,340 INFO    MainThread:32764 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=spawn, using: spawn
2024-09-25 02:50:04,342 INFO    MainThread:32764 [wandb_init.py:init():678] backend started and connected
2024-09-25 02:50:04,346 INFO    MainThread:32764 [wandb_init.py:init():773] updated telemetry
2024-09-25 02:50:04,346 INFO    MainThread:32764 [wandb_init.py:init():806] communicating run to backend with 90.0 second timeout
2024-09-25 02:50:04,618 INFO    MainThread:32764 [wandb_init.py:init():857] starting run threads in backend
2024-09-25 02:50:04,800 INFO    MainThread:32764 [wandb_run.py:_console_start():2459] atexit reg
2024-09-25 02:50:04,801 INFO    MainThread:32764 [wandb_run.py:_redirect():2307] redirect: wrap_raw
2024-09-25 02:50:04,801 INFO    MainThread:32764 [wandb_run.py:_redirect():2372] Wrapping output streams.
2024-09-25 02:50:04,801 INFO    MainThread:32764 [wandb_run.py:_redirect():2397] Redirects installed.
2024-09-25 02:50:04,803 INFO    MainThread:32764 [wandb_init.py:init():900] run started, returning control to user process
2024-09-25 05:23:03,743 WARNING MsgRouterThr:32764 [router.py:message_loop():77] message_loop has been closed
