C:\Users\LydoSr\anaconda3\envs\multimod\Lib\site-packages\transformers\tokenization_utils_base.py:1601: FutureWarning: `clean_up_tokenization_spaces` was not set. It will be set to `True` by default. This behavior will be depracted in transformers v4.45, and will be then set to `False` by default. For more details check this issue: https://github.com/huggingface/transformers/issues/31884
  warnings.warn(
2024-09-25 07:00:02,475 - INFO - Loaded audio embeddings from embeddings/audio_embeddings.pt.
2024-09-25 07:00:15,719 - INFO - Loaded transcriptions from E:\Ted\Text Chunks.
2024-09-25 07:00:15,840 - INFO - Loaded 123493 samples from the dataset.
c:\Users\LydoSr\Desktop\multimodal-llm\train.py:63: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler()  # For mixed precision
Epoch 1/3
c:\Users\LydoSr\Desktop\multimodal-llm\train.py:75: FutureWarning: `torch.cuda.amp.autocast(args...)` is deprecated. Please use `torch.amp.autocast('cuda', args...)` instead.
  with torch.cuda.amp.autocast():
C:\Users\LydoSr\anaconda3\envs\multimod\Lib\site-packages\transformers\models\gpt2\modeling_gpt2.py:544: UserWarning: 1Torch was not compiled with flash attention. (Triggered internally at C:\cb\pytorch_1000000000000\work\aten\src\ATen\native\transformers\cuda\sdp_utils.cpp:555.)
  attn_output = torch.nn.functional.scaled_dot_product_attention(
  Batch 16 Loss: 8.8241
  Batch 32 Loss: 8.7228
  Batch 48 Loss: 9.1671
  Batch 64 Loss: 8.9699
  Batch 80 Loss: 9.2973
  Batch 96 Loss: 9.1158
  Batch 112 Loss: 8.9568
  Batch 128 Loss: 9.3869
  Batch 144 Loss: 9.2433
  Batch 160 Loss: 9.5256
  Batch 176 Loss: 9.2807
  Batch 192 Loss: 9.1885
  Batch 208 Loss: 8.9374
  Batch 224 Loss: 9.2579
  Batch 240 Loss: 8.5399
  Batch 256 Loss: 8.8824
  Batch 272 Loss: 8.8106
  Batch 288 Loss: 9.1980
  Batch 304 Loss: 9.3141
  Batch 320 Loss: 8.8929
  Batch 336 Loss: 8.9681
  Batch 352 Loss: 8.9292
  Batch 368 Loss: 9.5320
  Batch 384 Loss: 9.0613
  Batch 400 Loss: 8.7988
  Batch 416 Loss: 9.3738
  Batch 432 Loss: 9.4412
  Batch 448 Loss: 8.7894
  Batch 464 Loss: 9.2474
  Batch 480 Loss: 8.7600
  Batch 496 Loss: 8.9844
  Batch 512 Loss: 9.0703
  Batch 528 Loss: 9.0281
  Batch 544 Loss: 9.4029
  Batch 560 Loss: 8.8671
  Batch 576 Loss: 8.5621
  Batch 592 Loss: 8.7139
  Batch 608 Loss: 9.3365
  Batch 624 Loss: 8.8995
  Batch 640 Loss: 8.8323
  Batch 656 Loss: 8.0375
  Batch 672 Loss: 8.9807
  Batch 688 Loss: 8.2979
  Batch 704 Loss: 8.5332
  Batch 720 Loss: 8.6483
  Batch 736 Loss: 8.9429
  Batch 752 Loss: 8.3401
  Batch 768 Loss: 9.1189
  Batch 784 Loss: 8.4964
  Batch 800 Loss: 9.3190
  Batch 816 Loss: 8.8195
  Batch 832 Loss: 8.4335
  Batch 848 Loss: 9.1258
  Batch 864 Loss: 8.7210
  Batch 880 Loss: 9.0119
  Batch 896 Loss: 8.6851
  Batch 912 Loss: 8.4506
